name,prompt,adj1,adj2,style,mos_quality,std_quality,mos_align,std_align
AttnGAN_normal_000.jpg,statue of a man,,,,0.965602553,0.223270101,0.40889324,0.615607722
AttnGAN_normal_001.jpg,a tray of sushi,,,,1.361853219,0.645422466,0.428796637,0.667071153
AttnGAN_normal_002.jpg,man lost in space,,,,0.195283431,0.949402643,0.506802093,0.723514494
AttnGAN_normal_003.jpg,a cosmic universe,,,,1.075006252,0.256997016,0.207691414,0.461925764
AttnGAN_normal_004.jpg,red and blue armor,,,,1.391763291,1.019677291,0.564244714,0.719811275
AttnGAN_normal_005.jpg,house of the dragon,,,,1.106599613,0.448890123,0.70896187,0.593561806
AttnGAN_normal_006.jpg,a river in a forest,,,,1.062470367,0.665815742,0.626274844,0.998303735
AttnGAN_normal_007.jpg,a cat doing karaoke,,,,0.80654015,0.393910643,0.397771485,0.412883462
AttnGAN_normal_008.jpg,joe biden very happy,,,,1.230273953,0.574807841,0.577911226,0.711439334
AttnGAN_normal_009.jpg,girl from fight club,,,,1.222173929,0.637559058,0.420831212,0.549756696
AttnGAN_normal_010.jpg,face shot of a woman,,,,1.311956077,0.754244761,0.178657573,0.569770583
AttnGAN_normal_011.jpg,the prince of the sun,,,,1.373098268,0.432051187,0.647652682,0.72337619
AttnGAN_normal_012.jpg,life bar and mana bar,,,,1.337589887,0.548578888,0.936285696,0.523195868
AttnGAN_normal_013.jpg,everything is a dream,,,,1.230273953,0.54561589,1.146784292,1.117565554
AttnGAN_normal_014.jpg,a small leopard gecko,,,,0.919776796,0.669515599,0.613465793,0.713436676
AttnGAN_normal_015.jpg,santa claus on drugs,,,,0.91586726,0.403143871,0.571482359,0.516367865
AttnGAN_normal_016.jpg,very sad rabbit crying,,,,1.174495727,0.516055647,0.541980536,0.483986297
AttnGAN_normal_017.jpg,tragedy of the commons,,,,1.006207915,0.554580887,0.751353207,0.657638334
AttnGAN_normal_018.jpg,man hating his printer,,,,1.101434458,0.368267338,0.373079324,0.578466453
AttnGAN_normal_019.jpg,big boss eating dinner,,,,0.821435934,0.777334433,1.02066036,1.93353151
AttnGAN_normal_020.jpg,a overgrown old house,,,,0.965602553,0.353628309,0.277575547,0.476192805
AttnGAN_normal_021.jpg,portrait of mecha robot,,,,1.448560438,0.717877486,0.444707156,0.584535149
AttnGAN_normal_022.jpg,panda chef in a kitchen,,,,1.428382741,0.692444828,0.784257411,0.776146893
AttnGAN_normal_023.jpg,king kong on fighting,,,,0.949159982,0.506836937,0.422156431,0.363652825
AttnGAN_normal_024.jpg,goddess of mystic unity,,,,0.979308463,0.692335046,0.310309712,0.508539438
AttnGAN_normal_025.jpg,a still of breaking bad,,,,1.086342024,0.384291365,0.456645128,0.664614654
AttnGAN_normal_026.jpg,a painting of a eclipse,,,,1.023275848,0.729412624,0.613465793,0.628982857
AttnGAN_normal_027.jpg,the large cresting waves,,,,0.934897999,0.496275127,0.726968261,0.798565759
AttnGAN_normal_028.jpg,maroon to black gradient,,,,1.527555519,0.734475663,0.686697692,0.609546191
AttnGAN_normal_029.jpg,legendary river of slugs,,,,0.747278376,0.747544955,0.530505137,0.639145334
AttnGAN_normal_030.jpg,brand logo fruit company,,,,1.014269206,0.559228261,0.605682672,0.678309106
AttnGAN_normal_031.jpg,black mickey mouse skull,,,,0.821435934,0.354271932,0.742358137,0.980585945
